#meta:tz=America/Blanc-Sablon|America/Dawson_Creek|America/Detroit|America/Edmonton|America/Goose_Bay|America/Halifax|America/Iqaluit|America/Los_Angeles|America/Moncton|America/New_York|America/Phoenix|America/Regina|America/St_Johns|America/Swift_Current|America/Toronto|America/Vancouver|America/Whitehorse|America/Winnipeg|America/Yellowknife|Etc/GMT-3|Timezone|timezone;admin=---:---|AB:Alberta|BC:British Columbia|MB:Manitoba|NB:New Brunswick|NEW BRUNSWICK: Quispamsis|NL:Newfoundland and Labrador|NS:Nova Scotia|NT:Northwest Territories|ON:Ontario|PE:Prince Edward Island|QC:Quebec|QUEBEC / QUÉBEC:Quebec / Québec|SK:Saskatchewan|YT:Yukon;levels=Province
Code,Name,Timezone,IsDefault,Admin1,Admin1Code
"A0A0A0","Bay Roberts",12,true,6,6
"A0A0A1","Avondale",12,true,6,6
"A0A0A2","Holyrood",12,true,6,6
"A0A0A3","Trepassey",12,true,6,6
"A0A0A4","South River",12,true,6,6
"A0A0A5","Northern Bay",12,true,6,6
"A0A0A6","Clarkes Beach",12,true,6,6
"A0A0A7","Conception Harbour",12,true,6,6
"A0A0A8","Harbour Main",12,true,6,6
"A0A0A9","Jobs Cove",12,true,6,6
"A0A0B1","St Shotts",12,true,6,6
"A0A0B2","Cape Broyle",12,true,6,6
"A0A0B3","Aquaforte",12,true,6,6
"A0A0B4","Colliers Riverhead",12,true,6,6
"A0A0B5","Fermeuse",12,true,6,6
"A0A0B6","Petty Harbour",12,true,6,6
"A0A0B7","Western Bay",12,true,6,6
"A0A0B8","Broad Cove Bdv",12,true,6,6
"A0A0B9","Burnt Point Bdv",12,true,6,6
"A0A0C1","Pouch Cove",12,true,6,6
"A0A0C2","Red Head Cove",12,true,6,6
"A0A0C3","Ferryland",12,true,6,6
"A0A0C4","Bay Bulls",12,true,6,6
"A0A0C5","Bay Roberts",12,true,6,6
"A0A0C6","Bell Island",12,true,6,6
"A0A0C7","Coleys Point South",12,true,6,6
"A0A0C8","Makinsons",12,true,6,6
"A0A0C9","Harbour Grace",12,true,6,6
"A0A0E1","Lower Island Cove",12,true,6,6
"A0A0E2","Port De Grave",12,true,6,6
"A0A0E3","Renews",12,true,6,6
"A0A0E4","Victoria Cb",12,true,6,6
"A0A0E5","Spaniards Bay",12,true,6,6
"A0A0E6","Bay De Verde",12,true,6,6
"A0A0E7","Bell Island Front",12,true,6,6
"A0A0E8","Brigus",12,true,6,6
"A0A0E9","Grates Cove",12,true,6,6
"A0A0G1","Upper Island Cove",12,true,6,6
"A0A0G2","Witless Bay",12,true,6,6
"A0A0G3","Woodfords",12,true,6,6
"A0A0G4","Cupids",12,true,6,6
"A0A0G5","Calvert",12,true,6,6
"A0A0G6","Tors Cove",12,true,6,6
"A0A0G7","Cappahayden",12,true,6,6
"A0A0G8","Old Perlican",12,true,6,6
"A0A0G9","Shea Heights",12,true,6,6
"A0A0H1","Riverhead Harbour Grace",12,true,6,6
"A0A0H2","Bay Roberts",12,true,6,6
"A0A1A0","Aquaforte",12,true,6,6
"A0A1B0","Avondale",12,true,6,6
"A0A1C0","Bay Bulls",12,true,6,6
"A0A1E0","Bay De Verde",12,true,6,6
"A0A1G0","Bay Roberts",12,true,6,6
"A0A1H0","Bell Island Front",12,true,6,6
"A0A1J0","St. John's",12,true,6,6
"A0A1J0","Shea Heights",12,false,6,6
"A0A1K0","Brigus",12,true,6,6
"A0A1L0","Broad Cove Bdv",12,true,6,6
"A0A1M0","Burnt Point Bdv",12,true,6,6
"A0A1N0","Calvert",12,true,6,6
"A0A1P0","Cape Broyle",12,true,6,6
"A0A1R0","Caplin Cove Bdv",12,true,6,6
"A0A1S0","Cappahayden",12,true,6,6
"A0A1V0","Chapel Cove",12,true,6,6
"A0A1W0","Clarkes Beach",12,true,6,6
"A0A1X0","Coleys Point South",12,true,6,6
"A0A1Y0","Colliers Riverhead",12,true,6,6
"A0A1Z0","Conception Harbour",12,true,6,6
"A0A2B0","Cupids",12,true,6,6
"A0A2G0","Fermeuse",12,true,6,6
"A0A2H0","Ferryland",12,true,6,6
"A0A2L0","Grates Cove",12,true,6,6
"A0A2M0","Harbour Grace",12,true,6,6
"A0A2N0","Harbour Grace South",12,true,6,6
"A0A2P0","Harbour Main",12,true,6,6
"A0A2R0","Holyrood",12,true,6,6
"A0A2S0","Jobs Cove",12,true,6,6
"A0A2T0","Conception Bay South",12,true,6,6
"A0A2V0","Lance Cove",12,true,6,6
"A0A2W0","Lower Island Cove",12,true,6,6
"A0A2X0","Makinsons",12,true,6,6
"A0A2Z0","Marysvale",12,true,6,6
"A0A3A0","Mobile",12,true,6,6
"A0A3B0","Northern Bay",12,true,6,6
"A0A3C0","North River",12,true,6,6
"A0A3E0","Ochre Pit Cove",12,true,6,6
"A0A3G0","Old Perlican",12,true,6,6
"A0A3H0","Petty Harbour",12,true,6,6
"A0A3J0","Port De Grave",12,true,6,6
"A0A3K0","Portugal Cove - St. Philips",12,true,6,6
"A0A3L0","Pouch Cove",12,true,6,6
"A0A3M0","Red Head Cove",12,true,6,6
"A0A3N0","Renews",12,true,6,6
"A0A3P0","Riverhead Harbour Grace",12,true,6,6
"A0A3R0","St Shotts",12,true,6,6
"A0A3S0","Salmon Cove Bdv",12,true,6,6
"A0A3V0","Shearstown",12,true,6,6
"A0A3W0","South River",12,true,6,6
"A0A3X0","Spaniards Bay",12,true,6,6
"A0A3X1","Spaniards Bay",12,true,6,6
"A0A4A0","Tors Cove",12,true,6,6
"A0A4B0","Trepassey",12,true,6,6
"A0A4E0","Upper Island Cove",12,true,6,6
"A0A4G0","Victoria Cb",12,true,6,6
"A0A4H0","Bell Island",12,true,6,6
"A0A4J0","Western Bay",12,true,6,6
"A0A4K0","Witless Bay",12,true,6,6
"A0A4L0","Woodfords",12,true,6,6
"A0B0A1","Chance Cove",12,true,6,6
"A0B0A2","Come By Chance",12,true,6,6
"A0B0A3","Dildo",12,true,6,6
"A0B0A4","Winterton",12,true,6,6
"A0B0A5","Bellevue",12,true,6,6
"A0B0A6","Heart'S Content",12,true,6,6
"A0B0A7","Brigus Junction",12,true,6,6
"A0B0A8","Branch",12,true,6,6
"A0B0A9","Brownsdale",12,true,6,6
"A0B0B1","Cavendish",12,true,6,6
"A0B0B2","Freshwater Pb",12,true,6,6
"A0B0B3","Jerseyside",12,true,6,6
"A0B0B4","Long Harbour",12,true,6,6
"A0B0B5","St Brides",12,true,6,6
"A0B0B6","Chapel Arm",12,true,6,6
"A0B0B7","Fair Haven",12,true,6,6
"A0B0B8","Greens Harbour",12,true,6,6
"A0B0B9","Placentia",12,true,6,6
"A0B0C1","Sunnyside",12,true,6,6
"A0B0C2","Whitbourne",12,true,6,6
"A0B0C3","Arnolds Cove",12,true,6,6
"A0B0C4","St Vincents",12,true,6,6
"A0B0C5","Ship Harbour Pb",12,true,6,6
"A0B0C6","Colinet",12,true,6,6
"A0B0C7","Mount Carmel",12,true,6,6
"A0B0C8","New Harbour Tb",12,true,6,6
"A0B0C9","Southern Harbour Pb",12,true,6,6
"A0B0E1","Blaketown",12,true,6,6
"A0B0E2","Normans Cove",12,true,6,6
"A0B0E3","St Marys",12,true,6,6
"A0B0E4","Hopeall",12,true,6,6
"A0B0E5","Whiteway",12,true,6,6
"A0B0E6","Dunville",12,true,6,6
"A0B0E7","Hants Harbour",12,true,6,6
"A0B0E8","Islington",12,true,6,6
"A0B0E9","Fox Harbour Pb",12,true,6,6
"A0B1A0","Arnolds Cove",12,true,6,6
"A0B1B0","Bellevue",12,true,6,6
"A0B1C0","Blaketown",12,true,6,6
"A0B1E0","Branch",12,true,6,6
"A0B1G0","Brigus Junction",12,true,6,6
"A0B1H0","Brownsdale",12,true,6,6
"A0B1J0","Cavendish",12,true,6,6
